date,open,high,low,close,volume,yyyymmdd,HHMM,date_time
2024-01-01 00:00:00+05:30,1093.85,1093.85,1076.0,1080.1,936544,20240101,0000,20240101_0000
2024-01-02 00:00:00+05:30,1086.35,1103.05,1079.5,1097.75,2635193,20240102,0000,20240102_0000
2024-01-03 00:00:00+05:30,1097.95,1099.1,1082.7,1084.95,1100701,20240103,0000,20240103_0000
2024-01-04 00:00:00+05:30,1088.1,1128.6,1086.15,1125.55,2777186,20240104,0000,20240104_0000
2024-01-05 00:00:00+05:30,1125.0,1131.15,1117.05,1122.95,1207155,20240105,0000,20240105_0000
2024-01-08 00:00:00+05:30,1125.05,1129.0,1094.65,1104.95,1722755,20240108,0000,20240108_0000
2024-01-09 00:00:00+05:30,1106.0,1120.15,1106.0,1111.65,998355,20240109,0000,20240109_0000
2024-01-10 00:00:00+05:30,1112.0,1117.7,1101.0,1113.95,933127,20240110,0000,20240110_0000
2024-01-11 00:00:00+05:30,1117.0,1124.95,1112.05,1119.25,1084035,20240111,0000,20240111_0000
2024-01-12 00:00:00+05:30,1125.45,1165.55,1123.85,1159.0,6018282,20240112,0000,20240112_0000
2024-01-15 00:00:00+05:30,1190.0,1190.95,1134.75,1150.8,4237485,20240115,0000,20240115_0000
2024-01-16 00:00:00+05:30,1152.55,1162.55,1142.0,1143.7,1449691,20240116,0000,20240116_0000
2024-01-17 00:00:00+05:30,1134.0,1152.95,1131.9,1138.6,1272932,20240117,0000,20240117_0000
2024-01-18 00:00:00+05:30,1134.95,1150.0,1122.5,1146.8,1218211,20240118,0000,20240118_0000
2024-01-19 00:00:00+05:30,1156.75,1165.6,1146.7,1161.7,900162,20240119,0000,20240119_0000
2024-01-20 00:00:00+05:30,1168.0,1169.0,1148.1,1150.1,332777,20240120,0000,20240120_0000
2024-01-23 00:00:00+05:30,1158.95,1166.0,1138.25,1145.65,933643,20240123,0000,20240123_0000
2024-01-24 00:00:00+05:30,1145.6,1161.0,1134.0,1159.0,1040096,20240124,0000,20240124_0000
2024-01-25 00:00:00+05:30,1160.0,1163.65,1132.35,1136.75,1125321,20240125,0000,20240125_0000
2024-01-29 00:00:00+05:30,1136.75,1149.2,1135.0,1141.05,1588430,20240129,0000,20240129_0000
2024-01-30 00:00:00+05:30,1144.95,1147.2,1120.65,1122.9,798009,20240130,0000,20240130_0000
2024-01-31 00:00:00+05:30,1125.0,1127.5,1112.0,1118.0,2428738,20240131,0000,20240131_0000
2024-02-01 00:00:00+05:30,1118.0,1134.9,1108.0,1129.65,4728358,20240201,0000,20240201_0000
2024-02-02 00:00:00+05:30,1132.0,1170.7,1132.0,1162.75,1741322,20240202,0000,20240202_0000
2024-02-05 00:00:00+05:30,1169.9,1177.0,1146.3,1150.75,1266268,20240205,0000,20240205_0000
2024-02-06 00:00:00+05:30,1142.1,1166.8,1142.1,1163.55,1219085,20240206,0000,20240206_0000
2024-02-07 00:00:00+05:30,1168.05,1175.0,1153.05,1166.2,864874,20240207,0000,20240207_0000
2024-02-08 00:00:00+05:30,1160.0,1162.9,1125.0,1137.9,2477973,20240208,0000,20240208_0000
2024-02-09 00:00:00+05:30,1142.0,1149.4,1119.85,1129.25,917196,20240209,0000,20240209_0000
2024-02-12 00:00:00+05:30,1130.05,1134.4,1075.0,1122.2,898953,20240212,0000,20240212_0000
2024-02-13 00:00:00+05:30,1123.0,1141.3,1118.2,1137.8,886148,20240213,0000,20240213_0000
2024-02-14 00:00:00+05:30,1135.05,1139.85,1120.0,1135.6,1206706,20240214,0000,20240214_0000
2024-02-15 00:00:00+05:30,1140.05,1146.75,1127.25,1131.4,1278358,20240215,0000,20240215_0000
2024-02-16 00:00:00+05:30,1135.0,1149.4,1132.4,1147.45,1213292,20240216,0000,20240216_0000
2024-02-19 00:00:00+05:30,1150.0,1164.25,1144.5,1155.0,961914,20240219,0000,20240219_0000
2024-02-20 00:00:00+05:30,1154.5,1159.0,1138.8,1154.4,1056193,20240220,0000,20240220_0000
2024-02-21 00:00:00+05:30,1155.0,1171.9,1150.05,1160.75,1445959,20240221,0000,20240221_0000
2024-02-22 00:00:00+05:30,1161.0,1164.75,1142.45,1159.5,1689403,20240222,0000,20240222_0000
2024-02-23 00:00:00+05:30,1158.0,1165.6,1155.2,1160.3,1280859,20240223,0000,20240223_0000
